Info for plot,,,,CHANGE YELLOW HIGHLIGHT,,,,,,,,,SankeyTitle,node_label,x_posi,y_posi,node_color,node_color_rgba,node_hover,source,target,value,link_hover,link_colorrr,,index,,Hybridoma ID,Clone A or B or Poly?,,,,,Notes
# single Hc/Lc obtained,21,,,,,,,,,,,,,,,,,,,8-E6,Clone A<br>(24/24),1,Clone screen RLU: 368460,"rgba(255,215,0,0.4)",,44,,,,,,,,
,,,,,,,,,,,,,,,,,,,,9-B7,Clone A<br>(24/24),0,Clone screen RLU: 280969,"rgba(255,215,0,0.4)",,45,,,,,,,,
Screening information (RLU),,,,,,,,,,,,,,,,,,,,Top hit #13,Clone A<br>(24/24),1,Clone screen RLU: ,"rgba(128,0,128,0.4)",,46,,,,,,,,
,,,Antibody Recovery RLU: ,,,Clone screen RLU: ,,,,,,,,,,,,,,Top hit #14,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,47,,,,,,,,
Top 12 hits to subclone: ,Hybridoma ID,Fusion 1 or 2?,1*Screen RLU: ,2*Screen RLU: ,3*Screen RLU: ,Post-thaw RLU: ,Clone-A,Clone B,,,,,,,,,,,,Top hit #15,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,48,,,,,,,,
Top hit #1,2-O1,1,905599,392623,527914,619596,278295,268914,,,,,,,,,,,,Top hit #16,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,49,,,,,,,,
Top hit #2,3-D11,1,717841,260434,223561,376422,596386,548279,,,,,,,,,,,,Top hit #17,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,50,,,,,,,,
Top hit #3,3-O21,1,715840,517541,549197,695831,250907,245640,,,,,,,,,,,,Top hit #18,Clone A<br>(24/24),0,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,51,,,,,,,,
Top hit #4,4-A16,1,776156,329872,259956,526526,550873,542545,,,,,,,,,,,,Top hit #19,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,52,,,,,,,,
Top hit #5,4-N1,1,770354,177531,193156,527473,118945,115117,,,,,,,,,,,,Top hit #20,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,53,,,,,,,,
Top hit #6,5-I19,1,841335,388916,381599,549522,235897,137351,,,,,,,,,,,,Top hit #21,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,54,,,,,,,,
Top hit #7,5-L22,1,741884,479432,498733,871014,,,,,,,,,,,,,,Top hit #22,Clone A<br>(24/24),1,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,55,,,,,,,,
Top hit #8,5-L6,1,847900,480873,447667,740833,706130,388528,,,,,,,,,,,,Top hit #23,Clone A<br>(24/24),0,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,56,,,,,,,,
Top hit #9,7-E1,1,707369,364123,378186,429562,313927,256232,,,,,,,,,,,,Top hit #24,Clone A<br>(24/24),0,Clone screen RLU: 280969,"rgba(128,0,128,0.4)",,57,,,,,,,,
Top hit #10,7-P21,1,806803,585692,610984,639790,,,,,,,,,,,,,,2-O1,Clone B (21/24),1,Clone screen RLU: 268914,"rgba(255,215,0,0.4)",,58,,,,,,,,
Top hit #11,8-E6,1,784380,343425,342921,540905,368460,327766,,,,,,,,,,,,3-D11,Clone B (21/24),1,Clone screen RLU: 548279,"rgba(255,215,0,0.4)",,59,,,,,,,,
Top hit #12,9-B7,1,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,3-O21,Clone B (21/24),1,Clone screen RLU: 245640,"rgba(255,215,0,0.4)",,60,,,,,,,,
Top hit #13,Top hit #13,2,728793,330972,292333,402076,,,,,,,,,,,,,,4-A16,Clone B (21/24),1,Clone screen RLU: 542545,"rgba(255,215,0,0.4)",,61,,,,,,,,
Top hit #14,Top hit #14,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,4-N1,Clone B (21/24),1,Clone screen RLU: 115117,"rgba(255,215,0,0.4)",,62,,,,,,,,
Top hit #15,Top hit #15,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,5-I19,Clone B (21/24),0,Clone screen RLU: 137351,"rgba(255,215,0,0.4)",,63,,,,,,,,
Top hit #16,Top hit #16,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,5-L22,Clone B (21/24),0,Clone screen RLU: ,"rgba(255,215,0,0.4)",,64,,,,,,,,
Top hit #17,Top hit #17,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,5-L6,Clone B (21/24),1,Clone screen RLU: 388528,"rgba(255,215,0,0.4)",,65,,,,,,,,
Top hit #18,Top hit #18,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,7-E1,Clone B (21/24),1,Clone screen RLU: 256232,"rgba(255,215,0,0.4)",,66,,,,,,,,
Top hit #19,Top hit #19,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,7-P21,Clone B (21/24),1,Clone screen RLU: ,"rgba(255,215,0,0.4)",,67,,,,,,,,
Top hit #20,Top hit #20,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,8-E6,Clone B (21/24),1,Clone screen RLU: 327766,"rgba(255,215,0,0.4)",,68,,,,,,,,
Top hit #21,Top hit #21,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,9-B7,Clone B (21/24),0,Clone screen RLU: 282555,"rgba(255,215,0,0.4)",,69,,,,,,,,
Top hit #22,Top hit #22,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,Top hit #13,Clone B (21/24),1,Clone screen RLU: ,"rgba(128,0,128,0.4)",,70,,,,,,,,
Top hit #23,Top hit #23,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,Top hit #14,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,71,,,,,,,,
Top hit #24,Top hit #24,2,728793,330972,292333,402076,280969,282555,,,,,,,,,,,,Top hit #15,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,72,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #16,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,73,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #17,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,74,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #18,Clone B (21/24),0,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,75,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #19,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,76,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #20,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,77,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #21,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,78,,,,,,,,
"Clone screen (Obtained = 1, did not obtain = 0)",,,,,,,,,,,,,,,,,,,,Top hit #22,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,79,,,,,,,,
Top 12 hits to subclone,Hybridoma ID,From 3*screen,A clone,B clone,Poly/parental to seq,ID of poly/parental,Post-thaw RLU from clone screen,,,,,,,,,,,,,Top hit #23,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,80,,,,,,,,
Top hit #1,2-O1,1,1,1,0,,,,,,,,,,,,,,,Top hit #24,Clone B (21/24),1,Clone screen RLU: 282555,"rgba(128,0,128,0.4)",,81,,,,,,,,
Top hit #2,3-D11,1,1,1,0,,,,,,,,,,,,,,,Parental/Poly<br>(3/12),BVP<br>(21/24 clean),3,-,"rgba(30,144,255, 0.4)",,82,,,,,,,,
Top hit #3,3-O21,1,1,1,0,,,,,,,,,,,,,,,Parental/Poly<br>(3/12),<b>Sequencing</b> <br>( Single heavy & light<br> chain obtained<br> for 21/24),3,-,"rgba(255,0,0, 0.4)",,83,,,,,,,,
Top hit #4,4-A16,1,1,1,0,,,,,,,,,,,,,,,2-O1,Parental/Poly<br>(3/12),0,Clone screen RLU: 619596,"rgba(255,215,0,0.4)",,84,,,,,,,,
Top hit #5,4-N1,1,1,1,0,,,,,,,,,,,,,,,3-D11,Parental/Poly<br>(3/12),0,Clone screen RLU: 376422,"rgba(255,215,0,0.4)",,85,,,,,,,,
Top hit #6,5-I19,1,0,0,1,5-I19,549521.5,,,,,,,,,,,,,3-O21,Parental/Poly<br>(3/12),0,Clone screen RLU: 695831,"rgba(255,215,0,0.4)",,86,,,,,,,,
Top hit #7,5-L22,1,1,0,0,,,,,,,,,,,,,,,4-A16,Parental/Poly<br>(3/12),0,Clone screen RLU: 526526,"rgba(255,215,0,0.4)",,87,,,,,,,,
Top hit #8,5-L6,1,1,1,0,,,,,,,,,,,,,,,4-N1,Parental/Poly<br>(3/12),0,Clone screen RLU: 527472.5,"rgba(255,215,0,0.4)",,88,,,,,,,,
Top hit #9,7-E1,1,1,1,0,,,,,,,,,,,,,,,5-I19,Parental/Poly<br>(3/12),1,Clone screen RLU: 549521.5,"rgba(255,215,0,0.4)",,89,,,,,,,,
Top hit #10,7-P21,1,1,1,0,,,,,,,,,,,,,,,5-L22,Parental/Poly<br>(3/12),0,Clone screen RLU: 871013.5,"rgba(255,215,0,0.4)",,90,,,,,,,,
Top hit #11,8-E6,1,1,1,0,,,,,,,,,,,,,,,5-L6,Parental/Poly<br>(3/12),0,Clone screen RLU: 740833,"rgba(255,215,0,0.4)",,91,,,,,,,,
Top hit #12,9-B7,1,0,0,1,9-B7,402076,,,,,,,,,,,,,7-E1,Parental/Poly<br>(3/12),0,Clone screen RLU: 429561.5,"rgba(255,215,0,0.4)",,92,,,,,,,,
Top hit #13,Top hit #13,1,1,1,0,,,,,,,,,,,,,,,7-P21,Parental/Poly<br>(3/12),0,Clone screen RLU: 639789.5,"rgba(255,215,0,0.4)",,93,,,,,,,,
Top hit #14,Top hit #14,1,1,1,0,,,,,,,,,,,,,,,8-E6,Parental/Poly<br>(3/12),0,Clone screen RLU: 540905,"rgba(255,215,0,0.4)",,94,,,,,,,,
Top hit #15,Top hit #15,1,1,1,0,,,,,,,,,,,,,,,9-B7,Parental/Poly<br>(3/12),1,Clone screen RLU: 402076,"rgba(255,215,0,0.4)",,95,,,,,,,,
Top hit #16,Top hit #16,1,1,1,0,,,,,,,,,,,,,,,Top hit #13,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,96,,,,,,,,
Top hit #17,Top hit #17,1,1,1,0,,,,,,,,,,,,,,,Top hit #14,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,97,,,,,,,,
Top hit #18,Top hit #18,1,0,0,1,Top hit #18,402076,,,,,,,,,,,,,Top hit #15,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,98,,,,,,,,
Top hit #19,Top hit #19,1,1,1,0,,,,,,,,,,,,,,,Top hit #16,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,99,,,,,,,,
Top hit #20,Top hit #20,1,1,1,0,,,,,,,,,,,,,,,Top hit #17,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,100,,,,,,,,
Top hit #21,Top hit #21,1,1,1,0,,,,,,,,,,,,,,,Top hit #18,Parental/Poly<br>(3/12),1,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,101,,,,,,,,
Top hit #22,Top hit #22,1,1,1,0,,,,,,,,,,,,,,,Top hit #19,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,102,,,,,,,,
Top hit #23,Top hit #23,1,0,1,0,,,,,,,,,,,,,,,Top hit #20,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,103,,,,,,,,
Top hit #24,Top hit #24,1,0,1,0,,,,,,,,,,,,,,,Top hit #21,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,104,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #22,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,105,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #23,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,106,,,,,,,,
,,,,,,,,,,,,,,,,,,,,Top hit #24,Parental/Poly<br>(3/12),0,Clone screen RLU: 402076,"rgba(128,0,128,0.4)",,107,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"List of hybridomas scaled-up, purified, and characterized",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 12 hits to subclone,Hybridoma ID ,Scaleup RLU: ,Poly/Nonspecific binding to BVP?   ,CDR3_HC sequence: ,CDR3_LC sequence: ,Z^2 Liability score: ,Isotype:,EC50 (nM): ,IC50 (nM): ,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #1,2-O1,260162,Yes,aaaa,aaaa,3,mIGG2B mKAPPA,3.3,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #2,3-D11,437036,No,aaaa,aaaa,3,mIGG2B mKAPPA,2.7,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #3,3-O21,374001,No,aaaa,aaaa,1,mIGG2B mKAPPA,2.4,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #4,4-A16,796688,No,aaaa,aaaa,1,mIGG2B mKAPPA,1.3,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #5,4-N1,136818,No,aaaa,aaaa,3,mIGG1 mKAPPA,1.5,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #6,5-I19,518083,No,aaaa,aaaa,4,mIGG2B mKAPPA,2.4,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #7,5-L22,131954,No,aaaa,aaaa,4,mIGM mKAPPA,49.8,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #8,5-L6,968153,No,aaaa,aaaa,3,mIgG2b mKAPPA,1.2,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #9,7-E1,551060,No,aaaa,aaaa,5,mIGG2B mLAMBDA,2.2,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #10,7-P21,242905,No,aaaa,aaaa,4,mIGG1 mKAPPA,0.9,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #11,8-E6,417700,No,aaaa,aaaa,2,mIGG1 mKAPPA,0.6,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #12,9-B7,260473,No,aaaa,aaaa,2,mIGG2C mKAPPA,1.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #13,Top hit #13,260474,No,aaaa,aaaa,3,mIGG2C mKAPPA,2.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #14,Top hit #14,260475,No,aaaa,aaaa,4,mIGG2C mKAPPA,3.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #15,Top hit #15,260476,No,aaaa,aaaa,5,mIGG2C mKAPPA,4.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #16,Top hit #16,260477,No,aaaa,aaaa,6,mIGG2C mKAPPA,5.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #17,Top hit #17,260478,No,aaaa,aaaa,7,mIGG2C mKAPPA,6.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #18,Top hit #18,260479,No,aaaa,aaaa,8,mIGG2C mKAPPA,7.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #19,Top hit #19,260480,No,aaaa,aaaa,9,mIGG2C mKAPPA,8.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #20,Top hit #20,260481,No,aaaa,aaaa,10,mIGG2C mKAPPA,9.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #21,Top hit #21,260482,No,aaaa,aaaa,11,mIGG2C mKAPPA,10.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #22,Top hit #22,260483,No,aaaa,aaaa,12,mIGG2C mKAPPA,11.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #23,Top hit #23,260484,No,aaaa,aaaa,13,mIGG2C mKAPPA,12.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #24,Top hit #24,260485,No,aaaa,aaaa,14,mIGG2C mKAPPA,13.1,## / ## / ##,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BVP RLU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 12 hits to subclone,Hybridoma ID ,Clone A or B or Poly?,BVP RLU: ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #1,2-O1,A,######,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #2,3-D11,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #3,3-O21,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #4,4-A16,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #5,4-N1,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #6,5-I19,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #7,5-L22,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #8,5-L6,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #9,7-E1,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #10,7-P21,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #11,8-E6,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #12,9-B7,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #13,Top hit #13,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #14,Top hit #14,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #15,Top hit #15,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #16,Top hit #16,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #17,Top hit #17,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #18,Top hit #18,A,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #19,Top hit #19,Poly,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #20,Top hit #20,Poly,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #21,Top hit #21,Poly,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #22,Top hit #22,B,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #23,Top hit #23,B,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #24,Top hit #24,B,###,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,"Hybridoma ID's grouped by unique, sibling, or identical sequences",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top 12 hits to subclone,Unique,Siblings,Identical,Polyclone,,Counts,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #1,3-O21,2-O1 and 3-D11,,7-P21,,19,Unique: ,3-O21<br>4-A16<br>4-N1<br>5-I19<br>5-L22<br>5-L6<br>7-E1<br>7-P21<br>Top hit #12<br>Top hit #13<br>Top hit #14<br>Top hit #15<br>Top hit #16<br>Top hit #17<br>Top hit #18<br>Top hit #19<br>Top hit #20<br>Top hit #21<br>Top hit #22<br>,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #2,4-A16,8-E6 and 9-B7,,Top hit #24,,2,Sibling: ,2-O1 and 3-D11<br>8-E6 and 9-B7<br>,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #3,4-N1,,,Top hit #23,,0,Identical: ,<br>,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #4,5-I19,,,,,3,Multiple HC/LC: ,7-P21<br>Top hit #24<br>Top hit #23,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #5,5-L22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #6,5-L6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #7,7-E1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #8,7-P21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #9,Top hit #12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #10,Top hit #13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #11,Top hit #14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #12,Top hit #15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #13,Top hit #16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #14,Top hit #17,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #15,Top hit #18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #16,Top hit #19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #17,Top hit #20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #18,Top hit #21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #19,Top hit #22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Top hit #24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The end :) ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
